sheet,excel_row,time_s,current_A,provided_j_A_cm2,provided_j_A_m2,I_over_area25_A_cm2,implied_area_cm2,j_unit_conversion_error,provided_I_minus_25j_A,used_in_inherited_calibration,treatment
-20℃,36,6.6,5.3,0.015,150,0.212,353.3333333333333,0.0,4.925,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,37,6.8,6.8,0.02,200,0.272,340.0,0.0,6.3,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,38,7,9.3,0.025,250,0.37200000000000005,372.0,0.0,8.675,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,39,7.2,11,0.032,320,0.44,343.75,0.0,10.2,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,40,7.4,11.7,0.038,380,0.46799999999999997,307.89473684210526,0.0,10.75,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,41,7.6,13.3,0.04,400,0.532,332.5,0.0,12.3,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,42,7.8,14.9,0.046,460,0.596,323.9130434782609,0.0,13.75,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,43,8,16.4,0.05,500,0.6559999999999999,327.99999999999994,0.0,15.149999999999999,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,44,8.2,18.2,0.056,560,0.728,325.0,0.0,16.8,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,45,8.4,19.6,0.061,610,0.784,321.3114754098361,0.0,18.075000000000003,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,46,8.6,21.4,0.066,660,0.856,324.2424242424242,0.0,19.75,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,47,8.8,23.8,0.074,740,0.9520000000000001,321.62162162162167,0.0,21.95,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,48,9,25.1,0.078,780,1.004,321.7948717948718,0.0,23.150000000000002,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,49,9.2,26.7,0.083,830,1.068,321.6867469879518,0.0,24.625,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,50,9.4,27.8,0.09,900,1.112,308.8888888888889,0.0,25.55,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,51,9.6,29.4,0.092,920,1.176,319.5652173913043,0.0,27.099999999999998,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,52,9.8,30.9,0.097,970,1.236,318.5567010309278,0.0,28.474999999999998,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,53,10,32.7,0.102,1020,1.308,320.5882352941177,1.1368683772161603e-13,30.150000000000002,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,54,10.2,34.1,0.106,1060,1.364,321.6981132075472,0.0,31.450000000000003,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,55,10.4,35.9,0.113,1130,1.436,317.6991150442478,0.0,33.074999999999996,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,56,10.6,37.4,0.117,1170,1.496,319.65811965811963,0.0,34.475,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,57,10.8,39.6,0.126,1260,1.584,314.2857142857143,0.0,36.45,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,58,11,40.5,0.131,1310,1.62,309.1603053435114,0.0,37.225,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,59,11.2,41.9,0.134,1340,1.676,312.68656716417905,0.0,38.55,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,60,11.4,43.8,0.143,1430,1.7519999999999998,306.2937062937063,2.2737367544323206e-13,40.224999999999994,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,61,11.6,45.4,0.144,1440,1.8159999999999998,315.27777777777777,0.0,41.8,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,62,11.8,47.1,0.15,1500,1.8840000000000001,314.0,0.0,43.35,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,63,12,48.3,0.154,1540,1.932,313.6363636363636,0.0,44.449999999999996,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,64,12.2,50.9,0.162,1620,2.036,314.1975308641975,0.0,46.85,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,65,12.4,52.2,0.167,1670,2.088,312.5748502994012,0.0,48.025000000000006,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,66,12.6,53.9,0.172,1720,2.156,313.37209302325584,2.2737367544323206e-13,49.6,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,67,12.8,55.7,0.176,1760,2.228,316.47727272727275,0.0,51.300000000000004,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,68,13,56.5,0.18,1800,2.26,313.8888888888889,0.0,52.0,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,69,13.2,58.3,0.185,1850,2.332,315.1351351351351,0.0,53.675,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,70,13.4,59.7,0.189,1890,2.388,315.8730158730159,0.0,54.975,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,71,13.6,61.4,0.195,1950,2.456,314.87179487179486,0.0,56.525,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,72,13.8,61.8,0.199,1990,2.472,310.55276381909545,0.0,56.824999999999996,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,73,14,62.2,0.2,2000,2.488,311.0,0.0,57.2,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,74,14.2,61.8,0.201,2010,2.472,307.46268656716416,-2.2737367544323206e-13,56.775,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,75,14.4,62.1,0.2,2000,2.484,310.5,0.0,57.1,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,76,14.6,61.8,0.199,1990,2.472,310.55276381909545,0.0,56.824999999999996,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,77,14.8,61.9,0.199,1990,2.476,311.05527638190955,0.0,56.925,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,78,15,62.1,0.2,2000,2.484,310.5,0.0,57.1,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,79,15.2,61.7,0.2,2000,2.468,308.5,0.0,56.7,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,80,15.4,61.8,0.199,1990,2.472,310.55276381909545,0.0,56.824999999999996,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,81,15.6,62,0.199,1990,2.48,311.5577889447236,0.0,57.025,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,82,15.8,61.9,0.2,2000,2.476,309.5,0.0,56.9,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,83,16,62,0.2,2000,2.48,310.0,0.0,57.0,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,84,16.2,62.1,0.201,2010,2.484,308.95522388059703,-2.2737367544323206e-13,57.075,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,85,16.4,62,0.2,2000,2.48,310.0,0.0,57.0,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,86,16.6,61.9,0.199,1990,2.476,311.05527638190955,0.0,56.925,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,87,16.8,62.2,0.2,2000,2.488,311.0,0.0,57.2,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,88,17,61.9,0.2,2000,2.476,309.5,0.0,56.9,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,89,17.2,61.9,0.2,2000,2.476,309.5,0.0,56.9,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,90,17.4,61.9,0.2,2000,2.476,309.5,0.0,56.9,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,91,17.6,62,0.2,2000,2.48,310.0,0.0,57.0,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,92,17.8,62,0.2,2000,2.48,310.0,0.0,57.0,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,93,18,61.8,0.199,1990,2.472,310.55276381909545,0.0,56.824999999999996,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,94,18.2,61.8,0.199,1990,2.472,310.55276381909545,0.0,56.824999999999996,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,95,18.4,61.8,0.199,1990,2.472,310.55276381909545,0.0,56.824999999999996,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,96,18.6,62,0.2,2000,2.48,310.0,0.0,57.0,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,97,18.8,62,0.199,1990,2.48,311.5577889447236,0.0,57.025,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,98,19,61.9,0.2,2000,2.476,309.5,0.0,56.9,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,99,19.2,62,0.2,2000,2.48,310.0,0.0,57.0,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,100,19.4,62,0.2,2000,2.48,310.0,0.0,57.0,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,101,19.6,62.1,0.2,2000,2.484,310.5,0.0,57.1,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,102,19.8,62,0.2,2000,2.48,310.0,0.0,57.0,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,103,20,61.9,0.199,1990,2.476,311.05527638190955,0.0,56.925,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,104,20.2,62,0.2,2000,2.48,310.0,0.0,57.0,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,105,20.4,61.9,0.2,2000,2.476,309.5,0.0,56.9,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,106,20.6,62,0.2,2000,2.48,310.0,0.0,57.0,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,107,20.8,62.1,0.2,2000,2.484,310.5,0.0,57.1,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,108,21,61.8,0.199,1990,2.472,310.55276381909545,0.0,56.824999999999996,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,109,21.2,62,0.2,2000,2.48,310.0,0.0,57.0,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,110,21.4,61.9,0.2,2000,2.476,309.5,0.0,56.9,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,111,21.6,61.9,0.2,2000,2.476,309.5,0.0,56.9,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,112,21.8,62,0.199,1990,2.48,311.5577889447236,0.0,57.025,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,113,22,61.9,0.2,2000,2.476,309.5,0.0,56.9,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,114,22.2,62.1,0.2,2000,2.484,310.5,0.0,57.1,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,115,22.4,61.8,0.2,2000,2.472,308.99999999999994,0.0,56.8,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,116,22.6,61.9,0.199,1990,2.476,311.05527638190955,0.0,56.925,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,117,22.8,61.8,0.199,1990,2.472,310.55276381909545,0.0,56.824999999999996,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,118,23,61.9,0.201,2010,2.476,307.9601990049751,-2.2737367544323206e-13,56.875,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,119,23.2,61.8,0.199,1990,2.472,310.55276381909545,0.0,56.824999999999996,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,120,23.4,62.1,0.2,2000,2.484,310.5,0.0,57.1,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,121,23.6,61.9,0.2,2000,2.476,309.5,0.0,56.9,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,122,23.8,61.7,0.199,1990,2.468,310.0502512562814,0.0,56.725,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,123,24,62.1,0.2,2000,2.484,310.5,0.0,57.1,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,124,24.2,62.8,0.199,1990,2.512,315.57788944723615,0.0,57.824999999999996,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,125,24.4,64.2,0.205,2050,2.568,313.1707317073171,0.0,59.075,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,126,24.6,65.7,0.21,2100,2.628,312.8571428571429,0.0,60.45,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,127,24.8,67.5,0.215,2150,2.7,313.95348837209303,0.0,62.125,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,128,25,70,0.223,2230,2.8,313.9013452914798,0.0,64.425,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,129,25.2,71.4,0.228,2280,2.8560000000000003,313.15789473684214,0.0,65.7,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,130,25.4,72.1,0.233,2330,2.884,309.4420600858369,0.0,66.27499999999999,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,131,25.6,73.8,0.235,2350,2.952,314.0425531914894,0.0,67.925,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,132,25.8,75.4,0.241,2410,3.016,312.86307053941914,0.0,69.375,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,133,26,77,0.245,2450,3.08,314.2857142857143,0.0,70.875,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,134,26.2,78.7,0.251,2510,3.148,313.54581673306774,0.0,72.425,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,135,26.4,80,0.256,2560,3.2,312.5,0.0,73.6,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,136,26.6,82,0.262,2620,3.28,312.9770992366412,0.0,75.45,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,137,26.8,84.2,0.267,2670,3.3680000000000003,315.3558052434457,0.0,77.525,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,138,27,86,0.275,2750,3.44,312.7272727272727,0.0,79.125,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,139,27.2,87.4,0.279,2790,3.4960000000000004,313.2616487455197,-4.547473508864641e-13,80.42500000000001,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,140,27.4,88,0.284,2840,3.52,309.85915492957747,4.547473508864641e-13,80.9,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,141,27.6,89.8,0.287,2870,3.592,312.89198606271776,0.0,82.625,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,142,27.8,91.5,0.292,2920,3.66,313.3561643835617,0.0,84.2,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,143,28,92.9,0.297,2970,3.716,312.7946127946128,0.0,85.47500000000001,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,144,28.2,92.9,0.3,3000,3.716,309.6666666666667,0.0,85.4,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,145,28.4,92.9,0.3,3000,3.716,309.6666666666667,0.0,85.4,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,146,28.6,92.7,0.299,2990,3.708,310.03344481605353,0.0,85.22500000000001,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,147,28.8,92.8,0.3,3000,3.7119999999999997,309.3333333333333,0.0,85.3,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,148,29,92.8,0.299,2990,3.7119999999999997,310.3678929765886,0.0,85.325,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,149,29.2,92.8,0.299,2990,3.7119999999999997,310.3678929765886,0.0,85.325,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,150,29.4,93,0.3,3000,3.72,310.0,0.0,85.5,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,151,29.6,92.3,0.299,2990,3.6919999999999997,308.69565217391306,0.0,84.825,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,152,29.8,93,0.299,2990,3.72,311.03678929765886,0.0,85.525,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,153,30,92.7,0.299,2990,3.708,310.03344481605353,0.0,85.22500000000001,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,154,30.2,92.9,0.299,2990,3.716,310.70234113712377,0.0,85.42500000000001,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,155,30.4,92.9,0.299,2990,3.716,310.70234113712377,0.0,85.42500000000001,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,156,30.6,92.7,0.299,2990,3.708,310.03344481605353,0.0,85.22500000000001,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,157,30.8,92.7,0.299,2990,3.708,310.03344481605353,0.0,85.22500000000001,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,158,31,92.7,0.299,2990,3.708,310.03344481605353,0.0,85.22500000000001,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,159,31.2,92.9,0.299,2990,3.716,310.70234113712377,0.0,85.42500000000001,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,160,31.4,92.9,0.3,3000,3.716,309.6666666666667,0.0,85.4,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,161,31.6,93,0.299,2990,3.72,311.03678929765886,0.0,85.525,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,162,31.8,92.8,0.3,3000,3.7119999999999997,309.3333333333333,0.0,85.3,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,163,32,92.8,0.299,2990,3.7119999999999997,310.3678929765886,0.0,85.325,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,164,32.2,92.7,0.3,3000,3.708,309.0,0.0,85.2,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,165,32.4,92.9,0.299,2990,3.716,310.70234113712377,0.0,85.42500000000001,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,166,32.6,92.9,0.3,3000,3.716,309.6666666666667,0.0,85.4,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,167,32.8,92.8,0.3,3000,3.7119999999999997,309.3333333333333,0.0,85.3,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,168,33,92.9,0.3,3000,3.716,309.6666666666667,0.0,85.4,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,169,33.2,92.7,0.3,3000,3.708,309.0,0.0,85.2,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,170,33.4,92.9,0.3,3000,3.716,309.6666666666667,0.0,85.4,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,171,33.6,92.9,0.299,2990,3.716,310.70234113712377,0.0,85.42500000000001,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,172,33.8,93.1,0.3,3000,3.7239999999999998,310.3333333333333,0.0,85.6,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,173,34,92.8,0.299,2990,3.7119999999999997,310.3678929765886,0.0,85.325,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,174,34.2,93,0.3,3000,3.72,310.0,0.0,85.5,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,175,34.4,92.8,0.3,3000,3.7119999999999997,309.3333333333333,0.0,85.3,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,176,34.6,92.8,0.3,3000,3.7119999999999997,309.3333333333333,0.0,85.3,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,177,34.8,92.8,0.299,2990,3.7119999999999997,310.3678929765886,0.0,85.325,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,178,35,93.1,0.3,3000,3.7239999999999998,310.3333333333333,0.0,85.6,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,179,35.2,93.1,0.3,3000,3.7239999999999998,310.3333333333333,0.0,85.6,False,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,180,35.4,93.1,0.3,3000,3.7239999999999998,310.3333333333333,0.0,85.6,False,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,181,35.6,92.8,0.299,2990,3.7119999999999997,310.3678929765886,0.0,85.325,False,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,182,35.8,92.8,0.3,3000,3.7119999999999997,309.3333333333333,0.0,85.3,False,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,183,36,92.7,0.3,3000,3.708,309.0,0.0,85.2,False,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,184,36.2,92.9,0.3,3000,3.716,309.6666666666667,0.0,85.4,False,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,185,36.4,93.4,0.3,3000,3.736,311.33333333333337,0.0,85.9,False,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-20℃,186,36.6,92.5,0.299,2990,3.7,309.3645484949833,0.0,85.025,False,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-25℃,3,0,2,0.0066006600660066,66.006600660066,0.08,303.00000000000006,0.0,1.834983498349835,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-25℃,4,0.2,2.1,0.00693069306930693,69.3069306930693,0.084,303.00000000000006,0.0,1.926732673267327,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-25℃,5,0.4,2,0.0066006600660066,66.006600660066,0.08,303.00000000000006,0.0,1.834983498349835,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
-25℃,6,0.6,2,0.0066006600660066,66.006600660066,0.08,303.00000000000006,0.0,1.834983498349835,True,沿用附件电流密度列与旧标定，不用总电流除以25替换密度
