column,unit,meaning
cell5_sensor_temperature_C,degC,最近一次控制采样的测量温度
cell1_sensor_voltage_V,V,最近一次控制采样的测量电压
cell2_sensor_voltage_V,V,最近一次控制采样的测量电压
cell3_sensor_voltage_V,V,最近一次控制采样的测量电压
cell4_sensor_voltage_V,V,最近一次控制采样的测量电压
cell5_sensor_voltage_V,V,最近一次控制采样的测量电压
cell1_observer_ice_bulk,1,独立观测器冰先验；未加电压创新的原始估计
cell2_observer_ice_bulk,1,独立观测器冰先验；未加电压创新的原始估计
cell3_observer_ice_bulk,1,独立观测器冰先验；未加电压创新的原始估计
cell4_observer_ice_bulk,1,独立观测器冰先验；未加电压创新的原始估计
cell5_observer_ice_bulk,1,独立观测器冰先验；未加电压创新的原始估计
cell1_filtered_temperature_C,degC,最近控制采样更新的低通测温；用于停机检测
cell2_filtered_temperature_C,degC,最近控制采样更新的低通测温；用于停机检测
cell3_filtered_temperature_C,degC,最近控制采样更新的低通测温；用于停机检测
cell4_filtered_temperature_C,degC,最近控制采样更新的低通测温；用于停机检测
cell5_filtered_temperature_C,degC,最近控制采样更新的低通测温；用于停机检测
cell1_filtered_voltage_V,V,最近控制采样更新的低通测压；用于停机检测
cell2_filtered_voltage_V,V,最近控制采样更新的低通测压；用于停机检测
cell3_filtered_voltage_V,V,最近控制采样更新的低通测压；用于停机检测
cell4_filtered_voltage_V,V,最近控制采样更新的低通测压；用于停机检测
cell5_filtered_voltage_V,V,最近控制采样更新的低通测压；用于停机检测
