case,strategy,cell,state,duration_s
case2,constant_first,2,4,0
case2,constant_first,2,5,0
case2,constant_first,3,0,5.60608956814
case2,constant_first,3,1,0
case2,constant_first,3,2,0
case2,constant_first,3,3,0
case2,constant_first,3,4,0
case2,constant_first,3,5,0
case2,constant_first,4,0,5.60608956814
case2,constant_first,4,1,0
case2,constant_first,4,2,0
case2,constant_first,4,3,0
case2,constant_first,4,4,0
case2,constant_first,4,5,0
case2,constant_first,5,0,5.60608956814
case2,constant_first,5,1,0
case2,constant_first,5,2,0
case2,constant_first,5,3,0
case2,constant_first,5,4,0
case2,constant_first,5,5,0
case3,dynamic,1,0,0
case3,dynamic,1,1,0
case3,dynamic,1,2,0.2
case3,dynamic,1,3,95.4
case3,dynamic,1,4,2.8
case3,dynamic,1,5,0
case3,dynamic,2,0,0
case3,dynamic,2,1,0
case3,dynamic,2,2,0.2
case3,dynamic,2,3,71.2
case3,dynamic,2,4,27
case3,dynamic,2,5,0
case3,dynamic,3,0,0
case3,dynamic,3,1,0
case3,dynamic,3,2,0.2
case3,dynamic,3,3,64.6
case3,dynamic,3,4,33.6
case3,dynamic,3,5,0
case3,dynamic,4,0,0
case3,dynamic,4,1,0
case3,dynamic,4,2,0.2
case3,dynamic,4,3,71.2
case3,dynamic,4,4,27
case3,dynamic,4,5,0
case3,dynamic,5,0,0
case3,dynamic,5,1,0
case3,dynamic,5,2,0.2
case3,dynamic,5,3,95.4
case3,dynamic,5,4,2.8
case3,dynamic,5,5,0
case3,constant_hold,1,0,19.4
case3,constant_hold,1,1,0
case3,constant_hold,1,2,0
case3,constant_hold,1,3,0
case3,constant_hold,1,4,0
case3,constant_hold,1,5,0
case3,constant_hold,2,0,19.4
case3,constant_hold,2,1,0
case3,constant_hold,2,2,0
case3,constant_hold,2,3,0
case3,constant_hold,2,4,0
case3,constant_hold,2,5,0
case3,constant_hold,3,0,19.4
case3,constant_hold,3,1,0
case3,constant_hold,3,2,0
case3,constant_hold,3,3,0
case3,constant_hold,3,4,0
case3,constant_hold,3,5,0
case3,constant_hold,4,0,19.4
case3,constant_hold,4,1,0
case3,constant_hold,4,2,0
case3,constant_hold,4,3,0
case3,constant_hold,4,4,0
case3,constant_hold,4,5,0
case3,constant_hold,5,0,19.4
case3,constant_hold,5,1,0
case3,constant_hold,5,2,0
case3,constant_hold,5,3,0
case3,constant_hold,5,4,0
case3,constant_hold,5,5,0
case3,constant_first,1,0,17.0368783891
case3,constant_first,1,1,0
case3,constant_first,1,2,0
case3,constant_first,1,3,0
case3,constant_first,1,4,0
case3,constant_first,1,5,0
case3,constant_first,2,0,17.0368783891
case3,constant_first,2,1,0
case3,constant_first,2,2,0
case3,constant_first,2,3,0
case3,constant_first,2,4,0
case3,constant_first,2,5,0
case3,constant_first,3,0,17.0368783891
case3,constant_first,3,1,0
case3,constant_first,3,2,0
case3,constant_first,3,3,0
case3,constant_first,3,4,0
case3,constant_first,3,5,0
case3,constant_first,4,0,17.0368783891
case3,constant_first,4,1,0
case3,constant_first,4,2,0
case3,constant_first,4,3,0
case3,constant_first,4,4,0
case3,constant_first,4,5,0
case3,constant_first,5,0,17.0368783891
case3,constant_first,5,1,0
case3,constant_first,5,2,0
case3,constant_first,5,3,0
case3,constant_first,5,4,0
case3,constant_first,5,5,0
case1,guarded,1,0,0
case1,guarded,1,1,0
case1,guarded,1,2,0.4
case1,guarded,1,3,85
case1,guarded,1,4,2.6
case1,guarded,1,5,0
case1,guarded,2,0,0
case1,guarded,2,1,0
case1,guarded,2,2,1.2
case1,guarded,2,3,71.2
case1,guarded,2,4,15.6
case1,guarded,2,5,0
case1,guarded,3,0,0
case1,guarded,3,1,0
case1,guarded,3,2,1.2
case1,guarded,3,3,67.4
case1,guarded,3,4,19.4
case1,guarded,3,5,0
case1,guarded,4,0,0
case1,guarded,4,1,0
case1,guarded,4,2,1.2
case1,guarded,4,3,71.2
case1,guarded,4,4,15.6
case1,guarded,4,5,0
case1,guarded,5,0,0
case1,guarded,5,1,0
case1,guarded,5,2,0.4
case1,guarded,5,3,85
case1,guarded,5,4,2.6
case1,guarded,5,5,0
case2,guarded,1,0,0
case2,guarded,1,1,0
case2,guarded,1,2,12
case2,guarded,1,3,62.4
case2,guarded,1,4,3.8
case2,guarded,1,5,0
case2,guarded,2,0,0
case2,guarded,2,1,0
case2,guarded,2,2,7.4
case2,guarded,2,3,38.8
case2,guarded,2,4,32
case2,guarded,2,5,0
case2,guarded,3,0,0
case2,guarded,3,1,0
case2,guarded,3,2,6.2
case2,guarded,3,3,36.6
case2,guarded,3,4,35.4
case2,guarded,3,5,0
case2,guarded,4,0,0
case2,guarded,4,1,0
case2,guarded,4,2,7.4
case2,guarded,4,3,38.8
case2,guarded,4,4,32
case2,guarded,4,5,0
case2,guarded,5,0,0
case2,guarded,5,1,0
case2,guarded,5,2,12
case2,guarded,5,3,62.4
case2,guarded,5,4,3.8
case2,guarded,5,5,0
case3,guarded,1,0,0
case3,guarded,1,1,0
case3,guarded,1,2,0.2
case3,guarded,1,3,88.6
case3,guarded,1,4,2.8
case3,guarded,1,5,0
case3,guarded,2,0,0
case3,guarded,2,1,0
case3,guarded,2,2,0.2
case3,guarded,2,3,67.2
case3,guarded,2,4,24.2
case3,guarded,2,5,0
case3,guarded,3,0,0
case3,guarded,3,1,0
case3,guarded,3,2,0.2
case3,guarded,3,3,62.2
case3,guarded,3,4,29.2
case3,guarded,3,5,0
case3,guarded,4,0,0
case3,guarded,4,1,0
case3,guarded,4,2,0.2
case3,guarded,4,3,67.2
case3,guarded,4,4,24.2
case3,guarded,4,5,0
case3,guarded,5,0,0
case3,guarded,5,1,0
case3,guarded,5,2,0.2
case3,guarded,5,3,88.6
case3,guarded,5,4,2.8
case3,guarded,5,5,0
case1,constant_optimized,1,0,31.8
case1,constant_optimized,1,1,0
case1,constant_optimized,1,2,0
case1,constant_optimized,1,3,0
case1,constant_optimized,1,4,0
case1,constant_optimized,1,5,0
case1,constant_optimized,2,0,31.8
case1,constant_optimized,2,1,0
case1,constant_optimized,2,2,0
case1,constant_optimized,2,3,0
case1,constant_optimized,2,4,0
case1,constant_optimized,2,5,0
case1,constant_optimized,3,0,31.8
case1,constant_optimized,3,1,0
case1,constant_optimized,3,2,0
case1,constant_optimized,3,3,0
case1,constant_optimized,3,4,0
case1,constant_optimized,3,5,0
case1,constant_optimized,4,0,31.8
case1,constant_optimized,4,1,0
case1,constant_optimized,4,2,0
case1,constant_optimized,4,3,0
case1,constant_optimized,4,4,0
case1,constant_optimized,4,5,0
case1,constant_optimized,5,0,31.8
case1,constant_optimized,5,1,0
case1,constant_optimized,5,2,0
case1,constant_optimized,5,3,0
case1,constant_optimized,5,4,0
case1,constant_optimized,5,5,0
case2,constant_optimized,1,0,88.8
case2,constant_optimized,1,1,0
case2,constant_optimized,1,2,0
case2,constant_optimized,1,3,0
case2,constant_optimized,1,4,0
case2,constant_optimized,1,5,0
case2,constant_optimized,2,0,88.8
case2,constant_optimized,2,1,0
case2,constant_optimized,2,2,0
case2,constant_optimized,2,3,0
case2,constant_optimized,2,4,0
case2,constant_optimized,2,5,0
case2,constant_optimized,3,0,88.8
case2,constant_optimized,3,1,0
case2,constant_optimized,3,2,0
case2,constant_optimized,3,3,0
case2,constant_optimized,3,4,0
case2,constant_optimized,3,5,0
case2,constant_optimized,4,0,88.8
case2,constant_optimized,4,1,0
case2,constant_optimized,4,2,0
case2,constant_optimized,4,3,0
case2,constant_optimized,4,4,0
case2,constant_optimized,4,5,0
case2,constant_optimized,5,0,88.8
case2,constant_optimized,5,1,0
case2,constant_optimized,5,2,0
case2,constant_optimized,5,3,0
case2,constant_optimized,5,4,0
case2,constant_optimized,5,5,0
case3,constant_optimized,1,0,98.6
case3,constant_optimized,1,1,0
case3,constant_optimized,1,2,0
case3,constant_optimized,1,3,0
case3,constant_optimized,1,4,0
case3,constant_optimized,1,5,0
case3,constant_optimized,2,0,98.6
case3,constant_optimized,2,1,0
case3,constant_optimized,2,2,0
case3,constant_optimized,2,3,0
case3,constant_optimized,2,4,0
case3,constant_optimized,2,5,0
case3,constant_optimized,3,0,98.6
case3,constant_optimized,3,1,0
case3,constant_optimized,3,2,0
case3,constant_optimized,3,3,0
case3,constant_optimized,3,4,0
case3,constant_optimized,3,5,0
case3,constant_optimized,4,0,98.6
case3,constant_optimized,4,1,0
case3,constant_optimized,4,2,0
case3,constant_optimized,4,3,0
case3,constant_optimized,4,4,0
case3,constant_optimized,4,5,0
case3,constant_optimized,5,0,98.6
case3,constant_optimized,5,1,0
case3,constant_optimized,5,2,0
case3,constant_optimized,5,3,0
case3,constant_optimized,5,4,0
case3,constant_optimized,5,5,0
