启动温度为-25℃,,,,,
时间/s,电流/A,电压 /V,单电池平均温度/℃,电流密度/A cm-2,电流密度/A m-2
8,16.4,0.627,-24.8826915344138,0.0541254125412541,541.254125412541
8.2,18.2,0.616,-24.8670092636456,0.0600660066006601,600.660066006601
8.4,19.6,0.606,-24.8496233679612,0.0646864686468647,646.864686468647
8.6,21.4,0.595,-24.8305172389075,0.0706270627062706,706.270627062706
8.8,23.8,0.586,-24.8090830422651,0.0785478547854785,785.478547854785
9,25.1,0.576,-24.7856011553827,0.0828382838283828,828.382838283829
9.2,26.7,0.567,-24.760557849607,0.0881188118811881,881.188118811881
9.4,27.8,0.559,-24.7340827000465,0.0917491749174918,917.491749174918
9.6,29.4,0.551,-24.7061837464223,0.097029702970297,970.29702970297
9.8,30.9,0.544,-24.6766182570565,0.101980198019802,1019.80198019802
10,32.7,0.537,-24.6452668796771,0.107920792079208,1079.20792079208
10.2,34.1,0.53,-24.612201248928,0.112541254125413,1125.41254125413
10.4,35.9,0.525,-24.5774298614072,0.118481848184818,1184.81848184818
10.6,37.4,0.519,-24.5408981444579,0.123432343234323,1234.32343234323
10.8,39.6,0.512,-24.502356050682,0.130693069306931,1306.93069306931
11,40.5,0.51,-24.4622045349604,0.133663366336634,1336.63366336634
11.2,41.9,0.506,-24.420975736585,0.138283828382838,1382.83828382838
11.4,43.8,0.502,-24.3780235322533,0.144554455445545,1445.54455445545
11.6,45.4,0.499,-24.3332268849088,0.14983498349835,1498.3498349835
11.8,47.1,0.496,-24.2867261926526,0.155445544554455,1554.45544554455
12,48.3,0.493,-24.2387931247637,0.159405940594059,1594.05940594059
12.2,50.9,0.491,-24.1888437255502,0.167986798679868,1679.86798679868
12.4,52.2,0.489,-24.136822357349,0.172277227722772,1722.77227722772
12.6,53.9,0.487,-24.0833346389909,0.177887788778878,1778.87788778878
12.8,55.7,0.485,-24.0280913521115,0.183828382838284,1838.28382838284
13,56.5,0.484,-23.9720651514521,0.186468646864686,1864.68646864686
13.2,58.3,0.483,-23.9151078238034,0.192409240924092,1924.09240924092
13.4,59.7,0.482,-23.8566678660219,0.197029702970297,1970.29702970297
13.6,61.4,0.482,-23.7968930851244,0.202640264026403,2026.40264026403
13.8,61.8,0.487,-23.7363164314894,0.203960396039604,2039.60396039604
14,62.2,0.493,-23.675764553626,0.205280528052805,2052.80528052805
14.2,61.8,0.498,-23.6157234077732,0.203960396039604,2039.60396039604
14.4,62.1,0.504,-23.5562817267264,0.204950495049505,2049.50495049505
14.6,61.8,0.509,-23.4972907226152,0.203960396039604,2039.60396039604
14.8,61.9,0.513,-23.4388364561636,0.204290429042904,2042.90429042904
15,62.1,0.518,-23.3805827491521,0.204950495049505,2049.50495049505
15.2,61.7,0.522,-23.3228196350011,0.203630363036304,2036.30363036304
15.4,61.8,0.526,-23.2655894165557,0.203960396039604,2039.60396039604
15.6,62,0.53,-23.2085088864539,0.204620462046205,2046.20462046205
15.8,61.9,0.534,-23.1516906025147,0.204290429042904,2042.90429042904
16,62,0.537,-23.0951876329309,0.204620462046205,2046.20462046205
16.2,62.1,0.541,-23.0388738306811,0.204950495049505,2049.50495049505
16.4,62,0.544,-22.9828684661874,0.204620462046205,2046.20462046205
16.6,61.9,0.547,-22.9272916543083,0.204290429042904,2042.90429042904
16.8,62.2,0.551,-22.8719054033521,0.205280528052805,2052.80528052805
17,61.9,0.553,-22.8168337558885,0.204290429042904,2042.90429042904
17.2,61.9,0.556,-22.7622594931437,0.204290429042904,2042.90429042904
17.4,61.9,0.559,-22.7080085728985,0.204290429042904,2042.90429042904
17.6,62,0.562,-22.6540310058563,0.204620462046205,2046.20462046205
17.8,62,0.565,-22.6003329305343,0.204620462046205,2046.20462046205
18,61.8,0.568,-22.5470949039305,0.203960396039604,2039.60396039604
18.2,61.8,0.57,-22.4943192562649,0.203960396039604,2039.60396039604
18.4,61.8,0.573,-22.4418905964999,0.203960396039604,2039.60396039604
18.6,62,0.576,-22.3896928834486,0.204620462046205,2046.20462046205
18.8,62,0.578,-22.337724316282,0.204620462046205,2046.20462046205
19,61.9,0.581,-22.2861487918866,0.204290429042904,2042.90429042904
19.2,62,0.583,-22.2348957071518,0.204620462046205,2046.20462046205
19.4,62,0.585,-22.1838944970653,0.204620462046205,2046.20462046205
19.6,62.1,0.588,-22.1331314831823,0.204950495049505,2049.50495049505
19.8,62,0.59,-22.0826508436632,0.204620462046205,2046.20462046205
20,61.9,0.592,-22.0325550832597,0.204290429042904,2042.90429042904
20.2,62,0.594,-21.9827211808523,0.204620462046205,2046.20462046205
20.4,61.9,0.597,-21.9331433945714,0.204290429042904,2042.90429042904
20.6,62,0.599,-21.8838185036031,0.204620462046205,2046.20462046205
20.8,62.1,0.601,-21.8346326329055,0.204950495049505,2049.50495049505
21,61.8,0.603,-21.7858115700338,0.203960396039604,2039.60396039604
21.2,62,0.605,-21.7372996027683,0.204620462046205,2046.20462046205
21.4,61.9,0.607,-21.6889862379797,0.204290429042904,2042.90429042904
21.6,61.9,0.609,-21.6409850738953,0.204290429042904,2042.90429042904
21.8,62,0.611,-21.5931862401356,0.204620462046205,2046.20462046205
22,61.9,0.612,-21.5456467414467,0.204290429042904,2042.90429042904
22.2,62.1,0.614,-21.4983089327524,0.204950495049505,2049.50495049505
22.4,61.8,0.616,-21.4512841878099,0.203960396039604,2039.60396039604
22.6,61.9,0.618,-21.4046276805359,0.204290429042904,2042.90429042904
22.8,61.8,0.62,-21.3582291716582,0.203960396039604,2039.60396039604
23,61.9,0.621,-21.3120887063724,0.204290429042904,2042.90429042904
23.2,61.8,0.623,-21.2662060606365,0.203960396039604,2039.60396039604
23.4,62.1,0.625,-21.2204718296628,0.204950495049505,2049.50495049505
23.6,61.9,0.626,-21.1749404227378,0.204290429042904,2042.90429042904
23.8,61.7,0.628,-21.1298826485921,0.203630363036304,2036.30363036304
24,62.1,0.629,-21.0849716614398,0.204950495049505,2049.50495049505
24.2,62.8,0.628,-21.0397204580467,0.207260726072607,2072.60726072607
24.4,64.2,0.625,-20.9935880236675,0.211881188118812,2118.81188118812
24.6,65.7,0.622,-20.9461376322838,0.216831683168317,2168.31683168317
24.8,67.5,0.62,-20.8971498722965,0.222772277227723,2227.72277227723
25,70,0.618,-20.8460744945177,0.231023102310231,2310.23102310231
25.2,71.4,0.615,-20.7931279645042,0.235643564356436,2356.43564356436
25.4,72.1,0.613,-20.7393043651668,0.237953795379538,2379.53795379538
25.6,73.8,0.612,-20.6844413326095,0.243564356435644,2435.64356435644
25.8,75.4,0.61,-20.6280449647517,0.248844884488449,2488.44884488449
26,77,0.609,-20.5701748151091,0.254125412541254,2541.25412541254
26.2,78.7,0.607,-20.5107797717003,0.25973597359736,2597.3597359736
26.4,80,0.606,-20.4500320317769,0.264026402640264,2640.26402640264
26.6,82,0.605,-20.387770177953,0.270627062706271,2706.27062706271
26.8,84.2,0.604,-20.3234972932413,0.277887788778878,2778.87788778878
27,86,0.603,-20.2573315163051,0.283828382838284,2838.28382838284
27.2,87.4,0.602,-20.1897284342133,0.288448844884488,2884.48844884488
27.4,88,0.601,-20.121367718675,0.29042904290429,2904.2904290429
27.6,89.8,0.6,-20.0520330928385,0.296369636963696,2963.69636963696
27.8,91.5,0.599,-19.9811186912389,0.301980198019802,3019.80198019802
28,92.9,0.6,-19.9088581589731,0.306600660066007,3066.00660066007
28.2,92.9,0.602,-19.8362085290258,0.306600660066007,3066.00660066007
28.4,92.9,0.605,-19.7639533785968,0.306600660066007,3066.00660066007
28.6,92.7,0.607,-19.6922044662986,0.305940594059406,3059.40594059406
28.8,92.8,0.609,-19.620906678104,0.306270627062706,3062.70627062706
29,92.8,0.611,-19.549949608231,0.306270627062706,3062.70627062706
29.2,92.8,0.613,-19.4793879220992,0.306270627062706,3062.70627062706
29.4,93,0.615,-19.4091101680522,0.306930693069307,3069.30693069307
29.6,92.3,0.617,-19.3394978439257,0.304620462046205,3046.20462046205
29.8,93,0.619,-19.2702731034892,0.306930693069307,3069.30693069307
30,92.7,0.621,-19.2012196511554,0.305940594059406,3059.40594059406
30.2,92.9,0.622,-19.1326071895612,0.306600660066007,3066.00660066007
30.4,92.9,0.624,-19.0642679707173,0.306600660066007,3066.00660066007
30.6,92.7,0.625,-18.9964144354131,0.305940594059406,3059.40594059406
30.8,92.7,0.627,-18.9290413002308,0.305940594059406,3059.40594059406
31,92.7,0.628,-18.8620356699279,0.305940594059406,3059.40594059406
31.2,92.9,0.629,-18.7952853800418,0.306600660066007,3066.00660066007
31.4,92.9,0.631,-18.7287861310029,0.306600660066007,3066.00660066007
31.6,93,0.632,-18.6625870154186,0.306930693069307,3069.30693069307
31.8,92.8,0.633,-18.5967899791813,0.306270627062706,3062.70627062706
32,92.8,0.634,-18.5314429371323,0.306270627062706,3062.70627062706
32.2,92.7,0.635,-18.4664871207278,0.305940594059406,3059.40594059406
32.3999999999999,92.9,0.636,-18.4018111821687,0.306600660066007,3066.00660066007
32.6,92.9,0.637,-18.3373574064374,0.306600660066007,3066.00660066007
32.7999999999999,92.8,0.638,-18.2732798935056,0.306270627062706,3062.70627062706
33,92.9,0.639,-18.2095202811312,0.306600660066007,3066.00660066007
33.1999999999999,92.7,0.64,-18.1461262895538,0.305940594059406,3059.40594059406
33.3999999999999,92.9,0.641,-18.0830401222479,0.306600660066007,3066.00660066007
33.5999999999999,92.9,0.642,-18.020151906979,0.306600660066007,3066.00660066007
33.7999999999999,93.1,0.642,-17.9574570413802,0.307260726072607,3072.60726072607
33.9999999999999,92.8,0.643,-17.8951079224325,0.306270627062706,3062.70627062706
34.1999999999999,93,0.643,-17.8330990682988,0.306930693069307,3069.30693069307
34.3999999999999,92.8,0.644,-17.7713730337817,0.306270627062706,3062.70627062706
34.5999999999999,92.8,0.644,-17.7100291967992,0.306270627062706,3062.70627062706
34.7999999999999,92.8,0.644,-17.6489579867738,0.306270627062706,3062.70627062706
34.9999999999999,93.1,0.644,-17.5879985360918,0.307260726072607,3072.60726072607
35.1999999999999,93.1,0.644,-17.5271464753786,0.307260726072607,3072.60726072607
35.3999999999999,93.1,0.643,-17.466552824243,0.307260726072607,3072.60726072607
35.5999999999999,92.8,0.643,-17.4063677723212,0.306270627062706,3062.70627062706
35.7999999999999,92.8,0.643,-17.3465860220093,0.306270627062706,3062.70627062706
35.9999999999999,92.7,0.642,-17.287098920354,0.305940594059406,3059.40594059406
36.1999999999999,92.9,0.642,-17.2277984002393,0.306600660066007,3066.00660066007
36.3999999999999,93.4,0.641,-17.1683702499091,0.308250825082508,3082.50825082508
36.5999999999999,92.5,0.641,-17.1093777353563,0.305280528052805,3052.80528052805
