启动温度为-20℃,,,,,
时间 / s,电流 / A,电压 / V,单电池平均温度/℃,电流密度 / A·cm-2,电流密度 / A·m-2
34,92.8,0.661,-12.9727210038924,0.299,2990
34.2,93,0.662,-12.9107516174725,0.3,3000
34.4,92.8,0.663,-12.8490433399805,0.3,3000
34.6,92.8,0.664,-12.7876936566284,0.3,3000
34.8,92.8,0.665,-12.72659536523,0.299,2990
35,93.1,0.666,-12.6655908431115,0.3,3000
35.2,93.1,0.667,-12.6046757531561,0.3,3000
35.4,93.1,0.668,-12.5439981980453,0.3,3000
35.6,92.8,0.669,-12.4837056504682,0.299,2990
35.8,92.8,0.67,-12.4237929610195,0.3,3000
36,92.7,0.671,-12.364154032247,0.3,3000
36.2,92.9,0.672,-12.3046861798018,0.3,3000
36.4,93.4,0.672,-12.2450807237933,0.3,3000
36.6,92.5,0.673,-12.1858910365791,0.299,2990
